CCTV-4 中文国际欧洲,rtp://239.3.1.213:4220
咪咕直播 𝟞「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000008379&livemode=1&stbId=YanG-1989
咪咕直播 𝟟「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000010129&livemode=1&stbId=YanG-1989
咪咕直播 𝟠「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000010948&livemode=1&stbId=YanG-1989
咪咕直播 𝟡「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000028638&livemode=1&stbId=YanG-1989
咪咕直播 𝟙𝟘「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000031494&livemode=1&stbId=YanG-1989
咪咕直播 𝟙𝟙「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000000097&livemode=1&stbId=YanG-1989
咪咕直播 𝟙𝟚「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000002019&livemode=1&stbId=YanG-1989
咪咕直播 𝟙𝟛「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000002809&livemode=1&stbId=YanG-1989
咪咕直播 𝟙𝟜「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000003915&livemode=1&stbId=YanG-1989
咪咕直播 𝟙𝟝「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000004193&livemode=1&stbId=YanG-1989
咪咕直播 𝟙𝟞「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000005837&livemode=1&stbId=YanG-1989
咪咕直播 𝟙𝟟「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000006077&livemode=1&stbId=YanG-1989
咪咕直播 𝟙𝟠「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000006658&livemode=1&stbId=YanG-1989
咪咕直播 𝟙𝟡「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000009788&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟘「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000010833&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟙「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000011297&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟚「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000011518&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟛「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000012558&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟜「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000012616&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟝「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000015470&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟞「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000015560&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟟「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000019839&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟠「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000021904&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟡「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000023434&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟘「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000025380&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟙「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000027691&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟚「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011518&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟛「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011519&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟜「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011520&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟝「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011521&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟞「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011522&livemode=1&stbId=YanG-1989
「B站」热门赛事,http://dns.yiandrive.com:15907/bilibili/10
「B站」CS 2,https://cdn-3.ttvb.eu.org/bilibili/21622811
「虎牙」CS 2,https://cdn-3.ttvb.eu.org/huya/483917
「B站」英雄联盟,https://cdn-3.ttvb.eu.org/bilibili/6
「虎牙」英雄联盟 𝟙,https://cdn-3.ttvb.eu.org/huya/660000
「虎牙」英雄联盟 𝟚,https://cdn-3.ttvb.eu.org/huya/660001
「斗鱼」英雄联盟 𝟙,https://cdn-3.ttvb.eu.org/douyu/288016
「斗鱼」英雄联盟 𝟚,https://cdn-3.ttvb.eu.org/douyu/424559
「B站」英雄联盟•手游,https://cdn-3.ttvb.eu.org/bilibili/23138275
「B站」王者荣耀 𝟙,https://cdn-3.ttvb.eu.org/bilibili/55
「B站」王者荣耀 𝟚,https://cdn-3.ttvb.eu.org/bilibili/21654762
「虎牙」王者荣耀 𝟙,https://cdn-3.ttvb.eu.org/huya/660002
「虎牙」王者荣耀 𝟚,https://cdn-3.ttvb.eu.org/huya/660164
「斗鱼」王者荣耀 𝟙,https://cdn-3.ttvb.eu.org/douyu/1863767
「斗鱼」王者荣耀 𝟚,https://cdn-3.ttvb.eu.org/douyu/1984839
「B站」绝地求生,https://cdn-3.ttvb.eu.org/bilibili/98
「虎牙」绝地求生 𝟙,https://cdn-3.ttvb.eu.org/huya/660004
「虎牙」绝地求生 𝟚,https://cdn-3.ttvb.eu.org/huya/660005
「斗鱼」绝地求生,https://cdn-3.ttvb.eu.org/douyu/100
「虎牙」和平精英,https://cdn-3.ttvb.eu.org/huya/660006
「斗鱼」和平精英,https://cdn-3.ttvb.eu.org/douyu/999
「虎牙」金铲铲之战,https://cdn-3.ttvb.eu.org/huya/660579
「斗鱼」金铲铲之战,https://cdn-3.ttvb.eu.org/douyu/9715241
「虎牙」DOTA2,https://cdn-3.ttvb.eu.org/huya/660118
「斗鱼」DOTA2,https://cdn-3.ttvb.eu.org/douyu/3811559
「斗鱼」云顶之弈,https://cdn-3.ttvb.eu.org/douyu/522423
「虎牙」永劫无间,https://cdn-3.ttvb.eu.org/huya/660115
「斗鱼」永劫无间,https://cdn-3.ttvb.eu.org/huya/9662891
「B站」使命召唤•手游,https://cdn-3.ttvb.eu.org/bilibili/22741849
「虎牙」使命召唤•手游,https://cdn-3.ttvb.eu.org/huya/11718629
「斗鱼」使命召唤•手游,https://cdn-3.ttvb.eu.org/douyu/9223245
「虎牙」穿越火线,https://cdn-3.ttvb.eu.org/huya/660101
「斗鱼」穿越火线 𝟙,https://cdn-3.ttvb.eu.org/douyu/605964
「斗鱼」穿越火线 𝟚,https://cdn-3.ttvb.eu.org/douyu/5388537
「虎牙」穿越火线•手游,https://cdn-3.ttvb.eu.org/huya/660102
「B站」第五人格,https://cdn-3.ttvb.eu.org/bilibili/5555
「虎牙」第五人格,https://cdn-3.ttvb.eu.org/huya/idvesports
「斗鱼」第五人格,https://cdn-3.ttvb.eu.org/douyu/3226194
「虎牙」逆战,https://cdn-3.ttvb.eu.org/huya/nsl2021
「B站」无畏契约,https://cdn-3.ttvb.eu.org/bilibili/22908869
「虎牙」无畏契约,https://cdn-3.ttvb.eu.org/huya/660679
「斗鱼」无畏契约,https://cdn-3.ttvb.eu.org/douyu/4585645
「斗鱼」原神,https://cdn-3.ttvb.eu.org/douyu/10853239
「B站」QQ飞车•手游,https://cdn-3.ttvb.eu.org/bilibili/21743919
「斗鱼」QQ飞车•手游,https://cdn-3.ttvb.eu.org/douyu/5040227
「斗鱼」梦幻西游·手游,https://cdn-3.ttvb.eu.org/huya/9163712
「斗鱼」街霸,https://cdn-3.ttvb.eu.org/huya/11437
「B站」JJ斗地主,https://cdn-3.ttvb.eu.org/bilibili/22021983
「斗鱼」JJ斗地主,https://cdn-3.ttvb.eu.org/douyu/488743
「斗鱼」我的世界,https://cdn-3.ttvb.eu.org/douyu/738878
「斗鱼」FIFA,https://cdn-3.ttvb.eu.org/douyu/7692166
「斗鱼」火影忍者,https://cdn-3.ttvb.eu.org/douyu/1997723
「斗鱼」跑跑卡丁车,https://cdn-3.ttvb.eu.org/douyu/7722576
「斗鱼」跑跑卡丁车•手游,https://cdn-3.ttvb.eu.org/douyu/6672862
音乐石榴「音乐」,https://cdn-3.ttvb.eu.org/huya/17091681
音乐速递「音乐」,https://cdn-3.ttvb.eu.org/huya/19439762
治愈•放松「音乐」,https://cdn-3.ttvb.eu.org/huya/21241811
阅读•学习「音乐」,https://cdn-3.ttvb.eu.org/huya/21241813
电视剧•1「解说」,https://cdn-3.ttvb.eu.org/huya/21277391
电视剧•2「解说」,https://cdn-3.ttvb.eu.org/huya/25018873
电影•1「解说」,https://cdn-3.ttvb.eu.org/huya/20289754
电影•2「解说」,https://cdn-3.ttvb.eu.org/huya/24983280
电影•3「解说」,https://cdn-3.ttvb.eu.org/huya/24396428
动漫•1「解说」,https://cdn-3.ttvb.eu.org/huya/19757963
恐怖电影「解说」,https://cdn-3.ttvb.eu.org/huya/23419131
漫威「解说」,https://cdn-3.ttvb.eu.org/huya/17089779
美剧「解说」,https://cdn-3.ttvb.eu.org/huya/20488841
七龙珠「解说」,https://cdn-3.ttvb.eu.org/huya/25650806
止戈电影「解说」,https://cdn-3.ttvb.eu.org/huya/19863777
挨饿德•1「其他」,https://cdn-3.ttvb.eu.org/huya/20985858
挨饿德•2「其他」,https://cdn-3.ttvb.eu.org/huya/17693860
互扇巴掌大赛「其他」,https://cdn-3.ttvb.eu.org/huya/20072873
荒野求生「其他」,https://cdn-3.ttvb.eu.org/huya/593667
野行者「其他」,https://cdn-3.ttvb.eu.org/huya/20072663
跳舞「其他」,https://cdn-3.ttvb.eu.org/huya/24634408
茶啊二中「动画」,https://cdn-3.ttvb.eu.org/huya/11213191
哆啦A梦「动漫」,https://cdn-3.ttvb.eu.org/huya/11601963
航海王「动漫」,https://cdn-3.ttvb.eu.org/huya/16913382
七龙珠「动漫」,https://cdn-3.ttvb.eu.org/huya/11601966
猫和老鼠「动漫」,https://cdn-3.ttvb.eu.org/huya/11352879
中华小当家「动漫」,https://cdn-3.ttvb.eu.org/huya/11342413
CCTV4欧洲,http://119.233.255.62:1234/608807419
CCTV4美洲,http://119.233.255.62:1234/608807416
CGTN英语,https://english-livebkali.cgtn.com/live/encgtn_0.m3u8
CGTN纪录,http://english-livebkali.cgtn.com/live/doccgtn_0.m3u8
海峡卫视,http://119.233.255.62:1234/849119120
农林卫视,http://119.233.255.62:1234/956904896
兵团卫视,http://119.233.255.62:1234/956923145
凤凰中文,http://zmgd.zyrnet.com:8888/hls/110/index.m3u8
凤凰资讯,http://zmgd.zyrnet.com:8888/hls/109/index.m3u8
凤凰香港,https://cdn.qd.je/163189/fhhk
中視新聞,http://4gtv.cnlive.club/channel/7e6461d6/index.m3u8?q=1784702901150
中天新聞,http://4gtv.cnlive.club/channel/3824d067/index.m3u8?q=1784702901150
TVB新闻,https://cdn6.cc.cd/163189/wxxw
TVB星河,https://cdn6.cc.cd/163189/tvbxh
明珠台,https://cdn.qd.je/163189/mzt
翡翠台,https://cdn3.indevs.in/stream/tvb/fct/
TVB亚洲武侠,https://cdn6.cc.cd/163189/yzwx
TVB娱乐新闻台,https://cdn6.cc.cd/163189/ylxw
TVB1,https://cdn6.cc.cd/163189/tvb1
TVBJ1,https://cdn6.cc.cd/163189/j1
无线新闻台,https://cdn6.cc.cd/163189/wxxwt
TVBPlus,https://cdn3.indevs.in/stream/tvb/tvbp/
HOY TV,https://cdn.qd.je/163189/hoy
HOY资讯台,https://cdn.qd.je/163189/hoy78
HOY国际财经台,https://cdn.qd.je/163189/hoy76
ViuTV,https://cdn.qd.je/163189/viu
ViuTVsix,https://cdn.qd.je/163189/viu6
NOW新闻台,https://cdn.qd.je/163189/now
RTHK31,https://cdn.qd.je/163189/rthk31
RTHK32,https://cdn.qd.je/163189/rthk32
澳视澳门,https://cdn.qd.je/163189/asam
澳视卫星,https://cdn.qd.je/163189/as
澳门体育,https://cdn.qd.je/163189/amty
澳门综艺,https://cdn.qd.je/163189/amzy
澳门莲花,https://cdn.qd.je/163189/amlh
重温经典,https://cdn.qd.je/163189/cwjd
CH5,https://cdn.qd.je/163189/ch5
CH8,https://cdn.qd.je/163189/ch8
CHU,https://cdn.qd.je/163189/chu
龙华电影,https://cdn.qd.je/163189/lhdy
龙华经典,https://cdn.qd.je/163189/lhjd
龙华偶像,https://cdn.qd.je/163189/lhox
龙华日韩,https://cdn.qd.je/163189/lhrh
龙华戏剧,https://cdn.qd.je/163189/lhxj
龙华洋片,https://cdn.qd.je/163189/lhyp
龙华卡通,https://cdn.qd.je/163189/lhkt
天映频道,https://cdn.qd.je/163189/typd
Astro AOD,https://cdn.qd.je/163189/aod
Astro AEC,https://cdn.qd.je/163189/aec
Astro QJ,https://cdn.qd.je/163189/qj
Astro欢喜台,https://cdn.qd.je/163189/hxt
民視第一台,http://4gtv.cnlive.club/channel/nc56ba28/index.m3u8?q=1784702901150
民視台灣台,http://4gtv.cnlive.club/channel/nce5d867/index.m3u8?q=1784702901150
民視,http://4gtv.cnlive.club/channel/n7222a63c/index.m3u8?q=1784702901150
華視,http://4gtv.cnlive.club/channel/n721fc25a/index.m3u8?q=1784702901150
三立綜合台,http://4gtv.cnlive.club/channel/45c7d3e3/index.m3u8?q=1784702901150
八大綜藝台,http://4gtv.cnlive.club/channel/662e9334/index.m3u8?q=1784702901150
TVBS精采台,http://4gtv.cnlive.club/channel/49d50255/index.m3u8?q=1784702901150
靖天綜合台,http://4gtv.cnlive.club/channel/3f6ecb92/index.m3u8?q=1784702901150
靖天日本台,http://4gtv.cnlive.club/channel/3f1816f7/index.m3u8?q=1784702901150
ABC互動英語,http://4gtv.cnlive.club/channel/2a571abf/index.m3u8?q=1784702901150
Da Vinci,http://4gtv.cnlive.club/channel/n1d7d9ddb/index.m3u8?q=1784702901150
Nick Jr.,http://4gtv.cnlive.club/channel/23ac0723/index.m3u8?q=1784702901150
Nickelodeon,http://4gtv.cnlive.club/channel/51bbda39/index.m3u8?q=1784702901150
DreamWorks,http://4gtv.cnlive.club/channel/n451655ef/index.m3u8?q=1784702901150
靖天卡通台,http://4gtv.cnlive.club/channel/3ed78a45/index.m3u8?q=1784702901150
Nice Bingo,http://4gtv.cnlive.club/channel/n15c65427/index.m3u8?q=1784702901150
MOMO親子台,http://4gtv.cnlive.club/channel/n33a56e39/index.m3u8?q=1784702901150
Mnews鏡新闻,http://4gtv.cnlive.club/channel/351c8485/index.m3u8?q=1784702901150
東森新聞,http://4gtv.cnlive.club/channel/n5ca63a3a/index.m3u8?q=1784702901150
華視新聞,http://4gtv.cnlive.club/channel/n692bc32c/index.m3u8?q=1784702901150
民視新聞台,http://4gtv.cnlive.club/channel/nca14742/index.m3u8?q=1784702901150
三立新聞iNEWS,http://4gtv.cnlive.club/channel/4fa717ad/index.m3u8?q=1784702901150
TVBS新聞,http://4gtv.cnlive.club/channel/n1ea96b20/index.m3u8?q=1784702901150
東森財經新聞台,http://4gtv.cnlive.club/channel/57ce2e74/index.m3u8?q=1784702901150
寰宇新聞台,http://4gtv.cnlive.club/channel/n4da4274/index.m3u8?q=1784702901150
寰宇新聞台灣台,http://4gtv.cnlive.club/channel/n37458587/index.m3u8?q=1784702901150
TVBS,http://4gtv.cnlive.club/channel/58f128b2/index.m3u8?q=1784702901150
民視綜藝台,http://4gtv.cnlive.club/channel/nc46cff5/index.m3u8?q=1784702901150
靖天育樂台,http://4gtv.cnlive.club/channel/3f7d0a6e/index.m3u8?q=1784702901150
靖天國際台,http://4gtv.cnlive.club/channel/n481b36ac/index.m3u8?q=1784702901150
靖天歡樂台,http://4gtv.cnlive.club/channel/n122ce57e/index.m3u8?q=1784702901150
靖天資訊台,http://4gtv.cnlive.club/channel/3fae463b/index.m3u8?q=1784702901150
TVBS歡樂台,http://4gtv.cnlive.club/channel/498f035d/index.m3u8?q=1784702901150
公視戲劇,http://4gtv.cnlive.club/channel/7fdd881e/index.m3u8?q=1784702901150
八大精彩台,http://4gtv.cnlive.club/channel/6626a9ca/index.m3u8?q=1784702901150
靖天戲劇台,http://4gtv.cnlive.club/channel/3f07b409/index.m3u8?q=1784702901150
靖洋戲劇台,http://4gtv.cnlive.club/channel/48117ce7/index.m3u8?q=1784702901150
ROCK Action,http://4gtv.cnlive.club/channel/n21b197ce/index.m3u8?q=1784702901150
采昌影劇台,http://4gtv.cnlive.club/channel/n97ba44a/index.m3u8?q=1784702901150
靖天映畫,http://4gtv.cnlive.club/channel/n610faa83/index.m3u8?q=1784702901150
靖天電影台,http://4gtv.cnlive.club/channel/3fcf6ae8/index.m3u8?q=1784702901150
影迷數位電影台,http://4gtv.cnlive.club/channel/n79da43c0/index.m3u8?q=1784702901150
amc電影台,http://4gtv.cnlive.club/channel/n4f2af9e/index.m3u8?q=1784702901150
CinemaWorld,http://4gtv.cnlive.club/channel/n7815b83e/index.m3u8?q=1784702901150
經典電影台,http://4gtv.cnlive.club/channel/n2eb7240a/index.m3u8?q=1784702901150
民视新闻,http://rihou.cc:555/tv/%E6%B0%91%E8%A7%86%E6%96%B0%E9%97%BB
公视高清,http://211.72.174.95:8116/0.ts
民视高清,http://211.72.174.95:8115/0.ts
华视高清,http://220.135.241.47:8317/0.ts
台视高清,http://211.72.174.95:8112/0.ts
华视教体,http://220.135.241.47:8318/0.ts
台视财经,http://220.135.241.47:8315/0.ts
Taiwan+,https://fastly.live.brightcove.com/6385235869112/ap-northeast-1/6282251407001/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJob3N0IjoiaWU4OWZvLmVncmVzcy5pdjNqZDgiLCJhY2NvdW50X2lkIjoiNjI4MjI1MTQwNzAwMSIsImVobiI6ImZhc3RseS5saXZlLmJyaWdodGNvdmUuY29tIiwiaXNzIjoiYmxpdmUtcGxheWJhY2stc291cmNlLWFwaSIsInN1YiI6InBhdGhtYXB0b2tlbiIsImF1ZCI6WyI2MjgyMjUxNDA3MDAxIl0sImp0aSI6IjYzODUyMzU4NjkxMTIifQ.4c-V1Ks3nBx9nRljtn5-jCNP_nLuWBbk-pw9BFWZfMQ/playlist-hls.m3u8
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8
看东方4K,http://bp-resource-dfl.bestv.cn/148/3/video.m3u8
苏州4K,https://live-auth.51kandianshi.com/szgd/csztv4k_4k.m3u8
钱江都市,http://ali-xwl.cztv.com/live/channel021080Plxw.m3u8
经济生活,http://ali-xwl.cztv.com/live/channel031080Plxw.m3u8
教科影院,http://ali-xwl.cztv.com/live/channel041080Plxw.m3u8
民生休闲,http://ali-xwl.cztv.com/live/channel061080Plxw.m3u8
浙江新闻,http://ali-xwl.cztv.com/live/channel071080Plxw.m3u8
少儿频道,http://ali-xwl.cztv.com/live/channel081080Plxw.m3u8
浙江国际,http://ali-xwl.cztv.com/live/channel101080Plxw.m3u8
之江纪录,http://ali-xwl.cztv.com/live/channel121080Pnew.m3u8
南国都市,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=%2A%2A%2A&txTime=1903e7b17de
苏州娱乐,https://live-auth.51kandianshi.com/szgd/csztv4.m3u8
南宁新闻,https://hls.nntv.cn/nnlive/XWZH_24.m3u8
南宁文旅,https://hls.nntv.cn/nnlive/WLSH_24.m3u8
南宁娱乐,http://hls.nntv.cn/nnlive/YSYL_244.m3u8
宁夏公共,https://hls.ningxiahuangheyun.com/live/nxgg1M.m3u8
宁夏经济,https://hls.ningxiahuangheyun.com/live/nxjj1M.m3u8
宁夏文旅,https://hls.ningxiahuangheyun.com/live/nxwl1M.m3u8
宁夏少儿,https://hls.ningxiahuangheyun.com/live/nxse1M.m3u8
新闻综合,http://play1-qk.nmtv.cn/live/2316general.m3u8
经济生活,http://play1-qk.nmtv.cn/live/2326general.m3u8
少儿频道,http://play1-qk.nmtv.cn/live/2327general.m3u8
文体娱乐,http://play1-qk.nmtv.cn/live/2319general.m3u8
农牧频道,http://play1-qk.nmtv.cn/live/2329general.m3u8
梨园频道,https://dxtx.hntv.tv/live/lypd.m3u8?txSecret=%2A%2A%2A&txTime=7B923E0A&wsSecret=%2A%2A%2A&wsTime=1770400669
文物宝库,https://dxtx.hntv.tv/live/wwbk.m3u8?txSecret=%2A%2A%2A&txTime=7C4C635C&wsSecret=%2A%2A%2A&wsTime=1770400669
武术频道,https://dxtx.hntv.tv/live/wssj.m3u8?txSecret=%2A%2A%2A&txTime=7ABB976A&wsSecret=%2A%2A%2A&wsTime=1770400669
河南曲艺,https://dxtx.hntv.tv/live/jczy.m3u8?txSecret=%2A%2A%2A&txTime=7C4C6207&wsSecret=%2A%2A%2A&wsTime=1770400669
绍兴公共,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
文化影视,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
文成综合,http://l.cztvcloud.com/channels/lantian/SXwencheng1/720p.m3u8
萧山综合,http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8
龙泉综合,http://l.cztvcloud.com/channels/lantian/SXlongquan1/720p.m3u8
上虞综合,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8
云和综合,http://l.cztvcloud.com/channels/lantian/SXyunhe1/720p.m3u8
Github「使用说明」,https://raw.githubusercontent.com/YanG-1989/m3u/refs/heads/main/hosts.txt
睛彩广场舞「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011523&livemode=1&stbId=YanG-1989
睛彩青少「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011525&livemode=1&stbId=YanG-1989
睛彩竞技「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011528&livemode=1&stbId=YanG-1989
睛彩篮球「移动」,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011529&livemode=1&stbId=YanG-1989
